2024,"R6",7
,"永原聡士","生産システムシミュレーションにおけるデータ駆動型マルチスケールモデリングに関する研究",
2022,"R4",7
,"Shady Amgad Ahmed Ahmed Salama","RESEARCH ON AUTOMATIC GENERATION OF DISPATCHING RULES USING GENETIC PROGRAMMING FOR JOB SHOP SCHEDULING PROBLEMS",
2020,"R2",9
,"智田崇文","共生分散型生産システムにおけるリソースマッチング方式に関する研究",
,"渡邉るりこ ","テキストマイニングを用いたコンサルティングサービスの支援手法に関する研究",
2018,"H30",1
,"杉之内将大","マスカスタマイゼーション実現のための主体間の交渉・協調による生産スケジューリング手法に関する研究",
2017,"H29",7
,"勝村義輝","クラウドマニュファクチャリングの生産効率性に関する研究 ",
2016,"H28",7
,"古賀康隆","グローバルサプライネットワークにおける最適拠点配置設計に関する研究",
,"原口春海","セル生産システムにおける人的要因を考慮した作業者訓練に関する研究",
2013,"H25",7
,"Fang YU","Coalition Formation based Negotiation Protocol for Supply Chain Networks Using Game Theory",
2013,"H25",1
,"黒瀬伸二","分散協調型生産スケジューリング手法の半導体製造における実用化に関する研究",
2012,"H24",1
,"銭　毅","社会的交渉手法を用いた実仮想融合型生産スケジューリングに関する研究",
,"八尾佳宏","企業経営における戦術・作戦レベルを連動させた分散協調型生産スケジューリング手法に関する研究",
2008,"H20",8
,"Jayeola Femi Opadiji","A STUDY ON INTEGRATED SUPPLY NETWORK PLANNING USING MULTIAGENT SYSTEM PARADIGM",
2007,"H19",7
,"国領 大介","腹腔臓器に対する磁気共鳴を用いた温熱療法システムに関する研究",
2007,"H19",1
,"指尾 健太郎","生産意思決定支援システムとしての分散仮想工場に関する研究",
2005,"H17",3
,"張小明","FMS における工具運用とジョブスケジューリング手法に関する研究",
2004,"H16",3
,"二上 範之","一般消費者を対象とした双方向型計算機援用設計システムにおける形状処理技術に関する研究",
,"He Bai(白鶴)","A Study on Automated Model Updating Mechanism for Manufacturing System Simulation",
2002,"H14",3
,"櫻井 光一","ASIC製造ラインにおける品質管理に関する研究",
2000,"H12",3
,"尾形 良征","目的展開に関する実証論的研究",
1998,"H10",9
,"Paulo GHINATO","A Study on the Work Force Assignment in U-shaped Production Systems",
1998,"H10",4
,"熊本 悦子","数理的手法を用いた放射線治療の照射条件立案に関する研究",
,"澤田 清","ソフトウェアの信頼性実証試験及びデータ伝送における再送要求方策に関する研究",
,"岡本 容典","ニューラルネットワークによる樹状医用画像の三次元構成に関する研究",
1997,"H9",3
,"諏訪 晴彦","インテリジェント・スケジューリングにおけるルール獲得に関する研究",
1996,"H8",4
,"粟津 邦男","Optical Measurement of Dye Kinetics and Its Medical Application",
1995,"H7",3
,"佐野 耕一","位相情報を利用したＭＲＩ血流映像化に関する研究",
,"高野 誠","分散通信システムのネットワーク管理に関する研究",
1994,"H6",3
,"日比野 省三","思考のパラダイムシフトによるネオシステム設計論に関する研究",
,"韓 尚秀","ファジィ多目的スケジューリングに関する研究",
1993,"H5",3
,"関 陽","脳血管造影像に基づく血管の知的３次元化処理に関する研究",
1991,"H3",3
,"宝崎 隆佑","無人搬送車の運行管理法に関する研究",
1988,"S63",8
,"王 進","納期ずれ費用を考慮したスケジューリング問題に関する研究",
1982,"S57",12
,"三道 弘明","ベイズ論に基づく寿命試験とシステム信頼性の解析・設計",
