,"橋本祐真","複雑ネットワークを用いた外部資産を保持する金融機関のシステミックリスクに関する研究",
,"藤澤卓馬","アイデアソンにおける集合知創出とその支援に関する一提案",
2016,"H28",3
,"酒井響平","フレキシブル・フローショップを対象とする構造解析手法を用いた生産スケジューリングに関する研究-ロット編成と機械割付けの同時最適化-",
,"杉之内将大","サプライチェーンを構成する企業間の協調・交渉による受発注計画の最適化に関する研究",
,"陳林碩","遺伝的アルゴリズムとヒューリスティック手法を用いたジョブショップを対象とする生産スケジューリングとAGV搬送計画の同時最適化に関する研究",
,"濱田裕規","組合せオークションを用いた自動倉庫システムの最適運用法に関する研究-複数入出庫口・複数入出庫機への対応-",
,"松林大輔","行路計画と交番計画の統合化による鉄道乗務員運用計画に関する研究",
,"山本知幸","実仮想融合概念を用いたレジリエント生産システムの一提案",
2015,"H27",3
,"小田純平","外食産業における組合せオークションを用いた人員シフト計画手法",
,"駒井寛則","スマートコミュニティにおける市場の概念に基づいた電力配分計画と個別使用計画の最適化",
,"阪口真規","実仮想融合型生産システムにおける工程計画と日程計画の統合に関する研究",
,"清水達也","バーチャルエンタプライズ環境下における契約ネットプロトコルを用いた複雑系仮想市場モデルの一提案",
,"朱佳利","A Study on Production Management considering Reverse Logistics",
,"高井剛","複雑ネットワークにおける情報拡散とその防止に関する研究",
2014,"H26",3
,"岩岡隼平","パターンマッチングを用いた肝腫瘍MRガイド下集束超音波治療の3次元照射位置推定手法の一提案",
,"大掛宗利","並列分枝限定法を用いた生産スケジュールの高速求解法－非一様型並列機械問題を対象に－",
,"奥野天介","組合せオークションを用いたダブルディープ型立体自動倉庫の最適運用法に関する研究",
,"小林洋平","ロット編成を有するフレキシブル・フローショップを対象とした分散協調型スケジューリングによるコスト最小化への一提案",
,"伴井悠馬","応答曲面法による解空間の構造推定に基づいた適応的Particle Swarm Optimization の一提案",
,"野上隼","地下商店街を対象としたエージェントシミュレーションと最適化によるレイアウト計画法の一提案",
,"吉川智哉","実仮想融合型生産システムにおける設備故障を考慮したスケジューリングに関する研究",
2013,"H25",3
,"植村南海","セントラルキッチンにおける設備レイアウト計画に関する研究－遺伝的アルゴリズムと計算機シミュレーションを用いた一解法－",
,"小林広治","市場指向プログラミングを用いたスマートコミュニティにおける電力配分計画の最適化－電力利用者間の効用に基づいた交換メカニズムの一提案－",
,"田ノ畑裕幸","生産スケジューリング問題における分散協調型最適化手法に関する研究－ラグランジュ分解・調整法及び列生成法の比較と特性解析－",
,"中井祐貴","製販一体型のグローバル生産における組合せオークションを用いた受発注戦略の最適化に関する研究",
,"藤本浩輔","エージェントの配置を考慮した複雑系仮想市場による資源配分アルゴリズムの一提案",
2012,"H24",3
,"今西啓太","GPUを用いた並列計算処理による分散協調型最適化手法の高速化",
,"岩元隆志","ロット編成と段取り替えを有するフレキシブル・フローショップを対象とした分散協調型スケジューリング手法に関する研究－ロット編成とスケジューリングの同時最適化－",
,"阪口英生","ネットワーク構造を導入した分散遺伝的アルゴリズムに関する研究",
,"指熊康太","解空間の構造を考慮した相互作用ネットワークに基づく適応的情報共有形態を有するParticle Swarm Optimization",
,"張福涛","フローショップを対象とした超分散離散型シミュレーションの構築法に関する一提案",
,"南宮蘭","不確実な需要環境下における情報共有を用いたサプライチェーンの効率化に関する研究",
,"八田卓","組合せオークションを用いた巡回距離と納期を考慮した自動倉庫システムの運用法に関する研究",
2011,"H23",3
,"青山晋也","Ｊコスト論を用いた生産スケジューリングの方法論に関する研究",
,"大森達也","セル生産システムにおける組合せオークションを用いた作業者配置とスケジューリングの同時最適化手法に関する研究",
,"高尾好江","肝臓に対するＭＲガイド下集束超音波治療のための血管樹状構造に基づく３次元照射位置追尾",
,"辻部晃久","分散協調型手法を用いたプリベンティブ　メンテナンス　スケジューリングの最適化に関する研究",
,"松田徹也","経済主体の複数期戦略を考慮した仮想市場下における資源配分特性解析",
,"吉川智哉","消費者効用の非均質性を考慮した外部性の働くサービスの普及過程に関する研究",
2010,"H22",3
,"江田崇","複雑ネットワーク環境における外部性を有した製品の普及に関する研究－消費者の異質性とネットワーク構造が普及に与える影響－",
,"小西孝行","進化的アルゴリズムを用いたParticle Swarm Optimizationの提案とその特性解析－変数依存性のある問題を対象に－",
,"陳楠","進化型ニューラルネットワークを用いた港湾物流の効率化に関する研究",
,"都出さやか","生産スケジューリング問題の最適化における組合せオークションメカニズム－バッチ編成を有し受注/見込品が混在する生産システムへの適用－",
,"長谷川　弘幸","リエントラントフレキシブルフローショップにおける公開型組合せオークションを用いた分散協調型生産スケジューリング手法",
2009,"H21",3
,"植田 育宏","動的環境下における市場指向プログラミングの特性解析－マクロ経済モデルに基づく市場変化を対象に－",
,"大塚 太朗","自律分散型生産システムにおける分散型遺伝的アルゴリズムを用いたリアクティブ・スケジューリング手法に関する研究",
,"小路 優","ワイヤレス同調コイルによる胃腔内MR内視鏡の位置・姿勢検出に関する研究",
,"銭 毅","モデルプラントを用いた実仮想融合型の生産計画立案手法に関する研究",
,"辻 翔平","セル間交渉を用いたオークション型生産スケジューリング手法の効率化に関する研究",
,"西林 聡","バッチ処理を有するフレキシブルフローショップを対象とした分散協調型生産スケジューリング手法に関する研究",
,"松山 芳和","経済主体の市場間移動を考慮した複数の完全競争型仮想市場環境下における資源配分特性に関する研究",
,"水島 優二","回収業者の意思決定を導入した製品ライフサイクルシミュレーションによる循環型社会に関する研究",
2008,"H20",3
,"垣原 康平","複雑系仮想市場による多階層取り引き市場の構築と資源配分特性の評価",
,"神野 亘俊","バーチャルエンタプライズモデルにおける拡張ラグランジュ分解調整法を用いた企業間交渉の最適化に関する研究",
,"三浦 克仁","生産スケジューリング問題に対する組合せオークションを用いた最適化手法に関する研究",
,"森川 幸祐","機械加工ジョブショップを対象とする変化追従型生産スケジューリング手法の一提案",
2007,"H19",3
,"于 雪","多段階工程におけるコストを基準とした在庫管理に関する研究",
,"岡田 勇樹","部品構成を考慮したフローショップ型生産システムにおける分散協調型スケジューリング手法に関する研究",
,"酒井 唯史","Particle Swarm Optimizationを用いた多目的最適化手法に関する研究","-非均質型PSOの特性解析-"
,"関 優也","生産コストに基づいた生産管理方式の基本特性評価","-計画パラメータが生産コストに与える影響について-"
,"藤井 大輔","マルチエージェントシステムを用いたマーケティング手法に関する研究","-逆シミュレーション手法による製品属性の決定-"
,"松永 祐樹","市場指向プログラミングを用いたハイブリッドスケジューリング手法の一提案",
,"村上 憲一","MR内視鏡ナビゲーションのための位置姿勢検出システムに関する研究",
,"横瀬 紘子","オークション方式を用いたセル生産システムの自律的運用法に関する研究","-実ラインへの適用を目指して-"
2006,"H18",3
,"稲生 進也","生産コストに基づいたロットサイズ設定法に関する研究","-分散仮想工場を用いた検証実験-"
,"小原 裕貴","学習エージェントより構成される複雑系仮想市場に関する研究",
,"曲 暁青","格子型機械配置生産システムの自律的計画・運用法に関する研究","-パレットとAGVの計画・運用法-"
,"成川 輝生","バーチャルエンタプライズ環境下における全体利益向上を目指した企業間協調に関する研究","-情報共有と意思決定共有の視点から-"
,"濱口 賢一","動的環境下における完全競争型仮想市場の効率的資源配分に関する研究","-市場を構成するエージェント及び財の量的変化を対象に-"
,"藤本 智子","格子型機械配置生産システムにおける自律的レイアウト創成機能に関する研究",
,"森 康洋","MR内視鏡の位置姿勢検出に関する研究",
,"渡邉 舞","消費者行動を内包したサプライチェーンマネジメントに関する研究",
2005,"H17",3,
,"鍛冶 鉄兵","前立腺疾患の診断のための複素磁気共鳴スペクトルの推定",
,"國領 大介","自己参照型差分法によるMR温度分布画像化法に関する研究",
,"杉森 光洋","コスト基準生産システム運用効率評価法の仮想工場を用いた実験的研究",
,"関 俊哉","格子型機械配置生産システムの自律的ライン構成・運用に関する研究",
,"高木 正仁","寡占状態を考慮した市場指向プログラミングの特性解析とその有効性評価",
2004,"H16",3,
,"宇都宮 拓真","動的環境下における格子型配置機械群の自律的再構成機能に関する研究","-MCの専用化・汎用化アルゴリズム-"
,"大家 健司","複雑系経済学に基づく人工市場モデルの基本特性解析","-複数財・複数市場への拡張-"
,"小野 公嗣","MR-IVRにおけるカテーテル・加温針トラッキングシステムの開発",
,"黄 冬","情報収集の範囲を考慮した仮想企業の交渉戦略に関する研究",
,"小林 哲也","分解型生産工場における生産管理方式に関する研究","-KS工場を対象として-"
,"菅原 章仁","分解型生産工場におけるディスパッチングルールの適用評価に関する事例研究","-KS工場を対象として-"
,"程 鵬","オークション方式を用いた並列機械スケジューリングに関する研究",
,"富永 昌伸","動的並列機械スケジューリングにおける優先規則選択知識の獲得手法に関する研究",
,"原田 泰樹","温熱治療支援におけるMR温度分布画像化法に関する研究",
,"吉村 徳泰","完全競争型仮想市場における均衡解の導出法に関する研究",
2003,"H15",3,
,"後藤 敏之","大規模生産システムのコスト基準運用効率評価法に関する研究",
