,"松元善紀","外食産業における人員シフト計画と設備レイアウト計画の統合に関する基礎的研究",
,"虫明莉穂","マスカスタマイズ生産を対象とする組合せオークションを用いた在庫管理に関する一提案",
2016,"H28",3,
,"板谷大地","ラグランジュ分解・調整法を用いた生産スケジューリングにおける最適化手法の一提案-作業者の能力差や拘束時間への考慮-",
,"伊藤愛","外食産業における業務の兼務制約を考慮した人員シフト計画手法",
,"坂本一馬","貿易モデルを対象とする市場規模を考慮した市場指向プログラミングの特性解析",
,"佐藤駿","見込み生産におけるラグランジュ分解・調整法を用いた注文引当処理",
,"平井康大","マスカスタイマイゼーションを対象とする組合せオークションを用いた生産スケジューリング手法の一提案",
,"松坂元彰","動的なネットワーク構造を導入した分散遺伝的アルゴリズムに関する基礎的研究",
,"渡邉るりこ","テキストマイニングを用いたコンサルティングサービス支援手法の一提案-対応分析とDEA判別分析による不正予測",
2015,"H27",3,
,"岩竹大","解空間の構造推定機能を取り入れた適応的Particle Swarm Optimizationの特性解析",
,"河内仁志","肝臓に対するMRガイド下集束超音波治療適用のための三次元変形解析および可視化",
,"小山健太","シミュレーションと最適化を用いた厨房設備レイアウト計画に関する基礎的研究",
,"橋本祐真","複雑ネットワーク環境下における生産者に情報取得戦略をもたせた複雑系仮想市場の特性解析",
,"藤澤卓馬","企業間ネットワークにおけるサービスの普及方策に関する基礎的研究",
,"吉田和矢","生産スケジューリング問題を対象とした並列分枝限定法におけるノード間負荷平準化の一提案",
2014,"H26",3,
,"岡田健人","分散制御型並列分枝限定法による生産スケジューリング問題の解法に関する基礎的検討",
,"酒井響平","フレキシブル・フローショップを対象としたラグランジュ分解・調整法により得られる生産スケジュールの構造解析手法",
,"杉之内将大","サプライチェーンの効率化を目指した組合せオークションによる部品在庫引当の最適化に関する一提案",
,"濱田裕規","組合せオークションを用いた入出庫口複数型自動倉庫におけるクレーンの搬送効率最適化手法に関する一提案",
,"山本知幸","実仮想融合型生産システムにおけるシミュレーションを用いた初期スケジュール立案手法の一提案",
2013,"H25",3,
,"小田純平","飲食店におけるサービス満足度向上を目指した人員シフト計画に関する基礎的研究",
,"駒井寛則","不完全競争市場における財の差別化を考慮した市場指向プログラミングの特性解析",
